                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.6291,                 1.8281,                 1.7309,                0.55541,                0.55591,                0.55405,                0.32366,                 1.4938,                 1.5456,                 1.7437,               0.006238,               0.006238,               0.006238
                     59,                 1.6297,                 1.8306,                 1.7245,                0.52972,                0.57827,                0.56142,                0.32665,                 1.4978,                 1.5395,                  1.742,               0.006172,               0.006172,               0.006172
                     60,                 1.6439,                 1.8354,                 1.7395,                  0.548,                0.57109,                0.56694,                0.33122,                  1.496,                 1.5244,                 1.7303,               0.006106,               0.006106,               0.006106
                     61,                   1.63,                 1.8227,                  1.728,                0.52735,                0.58848,                0.56968,                0.33375,                 1.4867,                 1.5019,                 1.7271,                0.00604,                0.00604,                0.00604
                     62,                 1.6206,                  1.795,                  1.715,                0.56451,                0.58869,                0.57504,                0.33945,                 1.4752,                  1.494,                 1.7128,               0.005974,               0.005974,               0.005974
                     63,                 1.6214,                 1.7988,                 1.7168,                0.58292,                0.57542,                0.58442,                 0.3464,                 1.4764,                 1.4691,                 1.7115,               0.005908,               0.005908,               0.005908
                     64,                 1.6233,                 1.7885,                 1.7145,                 0.5503,                 0.5945,                0.58742,                 0.3475,                 1.4689,                 1.4739,                 1.7034,               0.005842,               0.005842,               0.005842
                     65,                 1.6213,                 1.7905,                 1.7138,                 0.5802,                0.58649,                0.57982,                0.34419,                  1.467,                  1.479,                 1.7076,               0.005776,               0.005776,               0.005776
                     66,                 1.6173,                 1.7803,                 1.7122,                 0.5683,                0.59732,                0.59267,                0.35451,                 1.4541,                 1.4554,                 1.6997,                0.00571,                0.00571,                0.00571
                     67,                 1.6033,                 1.7723,                 1.7002,                0.54688,                0.60934,                0.59305,                 0.3536,                 1.4632,                 1.4591,                 1.7045,               0.005644,               0.005644,               0.005644
                     68,                 1.5991,                 1.7559,                 1.6963,                0.57317,                0.59912,                 0.5968,                0.35521,                 1.4657,                 1.4279,                    1.7,               0.005578,               0.005578,               0.005578
                     69,                 1.6067,                  1.755,                 1.6959,                0.55886,                0.60539,                0.60394,                0.36067,                 1.4544,                 1.4163,                 1.6889,               0.005512,               0.005512,               0.005512
                     70,                 1.6139,                 1.7542,                 1.6969,                0.58687,                 0.6066,                0.60939,                0.36428,                 1.4487,                 1.4314,                 1.6886,               0.005446,               0.005446,               0.005446
                     71,                 1.5928,                 1.7314,                 1.6932,                0.57826,                0.61591,                0.61393,                0.36824,                 1.4465,                 1.4072,                 1.6852,                0.00538,                0.00538,                0.00538
                     72,                 1.5807,                 1.7238,                 1.6772,                0.57721,                0.60743,                0.61068,                0.36748,                 1.4367,                 1.4135,                 1.6817,               0.005314,               0.005314,               0.005314
                     73,                 1.5933,                 1.7189,                 1.6853,                0.58298,                0.61239,                0.61722,                0.37283,                 1.4293,                 1.4038,                 1.6724,               0.005248,               0.005248,               0.005248
                     74,                 1.5801,                 1.7069,                 1.6801,                0.58721,                0.62561,                0.62265,                0.37579,                 1.4264,                 1.3885,                 1.6711,               0.005182,               0.005182,               0.005182
                     75,                 1.5954,                 1.7112,                 1.6913,                0.60338,                0.61555,                0.62966,                0.38029,                 1.4292,                 1.3685,                 1.6716,               0.005116,               0.005116,               0.005116
                     76,                 1.5799,                 1.6931,                 1.6764,                0.57845,                0.62585,                0.62843,                0.38179,                 1.4217,                 1.3716,                 1.6658,                0.00505,                0.00505,                0.00505
                     77,                  1.578,                 1.6889,                 1.6755,                0.58766,                0.63095,                0.63279,                0.38386,                 1.4179,                 1.3582,                  1.656,               0.004984,               0.004984,               0.004984
                     78,                 1.5667,                 1.6897,                 1.6674,                0.60946,                0.62845,                 0.6413,                   0.39,                 1.4164,                 1.3471,                 1.6597,               0.004918,               0.004918,               0.004918
                     79,                 1.5696,                 1.6954,                 1.6679,                0.60158,                0.63281,                0.64424,                0.39372,                   1.41,                  1.342,                 1.6531,               0.004852,               0.004852,               0.004852
                     80,                 1.5573,                 1.6727,                  1.667,                0.60892,                0.63225,                0.64945,                0.39807,                 1.3992,                 1.3365,                 1.6481,               0.004786,               0.004786,               0.004786
                     81,                 1.5684,                 1.6696,                  1.667,                0.60473,                0.63842,                0.65033,                0.39767,                 1.3995,                 1.3337,                  1.642,                0.00472,                0.00472,                0.00472
                     82,                 1.5641,                 1.6711,                 1.6653,                0.62176,                0.63082,                0.65094,                0.40105,                 1.3965,                 1.3189,                 1.6378,               0.004654,               0.004654,               0.004654
                     83,                 1.5583,                 1.6422,                 1.6551,                0.61077,                0.65051,                0.65954,                0.40535,                  1.392,                 1.3112,                  1.637,               0.004588,               0.004588,               0.004588
                     84,                 1.5473,                  1.652,                 1.6556,                0.61934,                0.64642,                0.65948,                 0.4071,                 1.3889,                 1.3058,                 1.6288,               0.004522,               0.004522,               0.004522
                     85,                 1.5469,                 1.6346,                 1.6479,                0.62511,                  0.653,                0.66608,                0.41078,                 1.3859,                 1.2925,                 1.6313,               0.004456,               0.004456,               0.004456
                     86,                 1.5373,                 1.6154,                 1.6433,                0.63636,                0.65047,                0.66912,                0.41203,                 1.3845,                 1.2869,                 1.6281,                0.00439,                0.00439,                0.00439
                     87,                 1.5405,                 1.6084,                 1.6436,                0.62993,                0.65725,                0.67295,                0.41681,                 1.3779,                 1.2779,                 1.6254,               0.004324,               0.004324,               0.004324
                     88,                 1.5524,                 1.6307,                 1.6479,                0.63544,                0.65804,                0.67499,                0.41878,                  1.372,                 1.2794,                  1.618,               0.004258,               0.004258,               0.004258
                     89,                 1.5451,                   1.62,                 1.6537,                0.63883,                0.65345,                0.67502,                0.41787,                  1.374,                 1.2827,                 1.6183,               0.004192,               0.004192,               0.004192
                     90,                 1.5552,                 1.6075,                 1.6493,                 0.6288,                 0.6594,                 0.6777,                0.42022,                 1.3703,                 1.2783,                 1.6143,               0.004126,               0.004126,               0.004126
                     91,                 1.5421,                 1.5942,                  1.638,                0.63543,                0.66486,                0.68256,                0.42342,                 1.3681,                 1.2538,                  1.611,                0.00406,                0.00406,                0.00406
                     92,                  1.521,                 1.5825,                 1.6279,                0.63192,                0.66728,                0.68477,                0.42617,                 1.3626,                 1.2502,                 1.6071,               0.003994,               0.003994,               0.003994
                     93,                  1.532,                 1.5855,                 1.6411,                0.63703,                0.66251,                0.68466,                0.42656,                  1.358,                 1.2496,                 1.6061,               0.003928,               0.003928,               0.003928
                     94,                 1.5171,                 1.5733,                 1.6227,                0.64426,                0.66802,                0.68976,                0.43077,                 1.3551,                 1.2428,                 1.6009,               0.003862,               0.003862,               0.003862
                     95,                 1.5301,                 1.5748,                 1.6339,                0.64107,                0.67447,                0.69487,                0.43374,                 1.3534,                 1.2374,                 1.5987,               0.003796,               0.003796,               0.003796
                     96,                  1.513,                 1.5549,                 1.6199,                0.63468,                0.67997,                0.69416,                0.43477,                 1.3495,                 1.2326,                 1.5982,                0.00373,                0.00373,                0.00373
                     97,                 1.5201,                 1.5575,                 1.6263,                0.64482,                 0.6806,                0.69967,                0.43809,                 1.3447,                 1.2255,                 1.5912,               0.003664,               0.003664,               0.003664
                     98,                 1.5093,                 1.5451,                 1.6128,                0.65638,                0.67424,                0.70219,                0.43985,                 1.3444,                 1.2166,                 1.5889,               0.003598,               0.003598,               0.003598
                     99,                 1.5175,                 1.5467,                 1.6241,                0.64882,                 0.6782,                 0.7046,                 0.4423,                 1.3431,                 1.2139,                 1.5874,               0.003532,               0.003532,               0.003532
                    100,                 1.5008,                 1.5351,                 1.6119,                0.64847,                 0.6864,                0.70664,                0.44529,                 1.3376,                 1.2098,                 1.5809,               0.003466,               0.003466,               0.003466
                    101,                 1.5107,                 1.5314,                 1.6093,                0.65351,                0.69112,                 0.7097,                0.44799,                 1.3319,                 1.2025,                 1.5797,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.4942,                  1.522,                 1.6072,                0.66251,                0.68464,                0.71098,                  0.449,                 1.3284,                 1.1966,                 1.5769,               0.003334,               0.003334,               0.003334
                    103,                  1.495,                 1.5114,                 1.5994,                0.66325,                0.68734,                 0.7155,                0.45325,                 1.3267,                 1.1878,                 1.5717,               0.003268,               0.003268,               0.003268
                    104,                 1.5003,                 1.5231,                 1.6091,                0.65918,                0.69479,                 0.7173,                  0.455,                 1.3258,                  1.183,                 1.5712,               0.003202,               0.003202,               0.003202
                    105,                 1.5008,                 1.5192,                 1.6051,                0.66571,                0.69317,                0.72147,                0.45793,                 1.3182,                  1.179,                 1.5682,               0.003136,               0.003136,               0.003136
                    106,                 1.4917,                 1.4931,                 1.5946,                0.65609,                0.70147,                0.72211,                0.45863,                 1.3168,                 1.1717,                 1.5682,                0.00307,                0.00307,                0.00307
                    107,                 1.4912,                  1.504,                 1.6091,                0.66283,                0.70497,                0.72507,                0.46223,                 1.3125,                 1.1661,                 1.5609,               0.003004,               0.003004,               0.003004
                    108,                 1.4774,                 1.4958,                 1.5888,                0.66047,                0.71029,                 0.7282,                0.46357,                 1.3118,                  1.163,                 1.5595,               0.002938,               0.002938,               0.002938
                    109,                  1.488,                 1.4875,                 1.5933,                0.67154,                 0.7078,                0.73393,                0.46802,                 1.3072,                 1.1494,                 1.5553,               0.002872,               0.002872,               0.002872
                    110,                 1.4788,                 1.4662,                 1.5792,                0.67686,                0.70603,                0.73448,                0.46782,                 1.3065,                 1.1502,                 1.5561,               0.002806,               0.002806,               0.002806
                    111,                 1.4832,                 1.4829,                 1.5878,                 0.6759,                0.70821,                0.73495,                0.46933,                 1.3046,                 1.1487,                 1.5546,                0.00274,                0.00274,                0.00274
                    112,                 1.4957,                   1.49,                 1.6016,                0.67998,                 0.7051,                0.73855,                0.47355,                 1.2985,                 1.1419,                 1.5485,               0.002674,               0.002674,               0.002674
                    113,                 1.4744,                 1.4553,                 1.5841,                  0.675,                0.70811,                0.73993,                0.47483,                 1.2956,                 1.1372,                 1.5477,               0.002608,               0.002608,               0.002608
                    114,                 1.4732,                 1.4716,                 1.5875,                0.66965,                0.71177,                 0.7407,                0.47635,                 1.2931,                 1.1302,                 1.5433,               0.002542,               0.002542,               0.002542
